id,name,default_code,barcode,type,is_storable,categ_id/id,uom_id/id,list_price,standard_price,sale_ok,purchase_ok,seller_ids/partner_id/id,seller_ids/price,seller_ids/delay,seller_ids/min_qty,weight,description_sale
andina.prod_034,Harina de Kiwicha 250 g,HAR-KIW-250g,7750000000342,consu,True,andina.categ_harinas,uom.product_uom_unit,6.26,3.42,True,False,,,,,0.52,
andina.prod_035,Harina de Kiwicha 500 g,HAR-KIW-500g,7750000000359,consu,True,andina.categ_harinas,uom.product_uom_unit,10.80,5.90,True,False,,,,,0.52,
andina.prod_036,Harina de Kiwicha 1 kg,HAR-KIW-1kg,7750000000366,consu,True,andina.categ_harinas,uom.product_uom_unit,20.52,11.21,True,False,,,,,0.52,
andina.prod_037,Granola Andina Premium 250 g,HAR-PRE-250g,7750000000373,consu,True,andina.categ_harinas,uom.product_uom_unit,8.24,4.29,True,False,,,,,0.52,
andina.prod_038,Granola Andina Premium 500 g,HAR-PRE-500g,7750000000380,consu,True,andina.categ_harinas,uom.product_uom_unit,14.20,7.40,True,False,,,,,0.52,
andina.prod_039,Granola Andina Premium 1 kg,HAR-PRE-1kg,7750000000397,consu,True,andina.categ_harinas,uom.product_uom_unit,26.98,14.06,True,False,,,,,0.52,
andina.prod_040,Mezcla Andina 3 Granos 250 g,HAR-3-250g,7750000000403,consu,True,andina.categ_harinas,uom.product_uom_unit,7.48,3.89,True,False,,,,,0.52,
andina.prod_041,Mezcla Andina 3 Granos 500 g,HAR-3-500g,7750000000410,consu,True,andina.categ_harinas,uom.product_uom_unit,12.90,6.70,True,False,,,,,0.52,
andina.prod_042,Mezcla Andina 3 Granos 1 kg,HAR-3-1kg,7750000000427,consu,True,andina.categ_harinas,uom.product_uom_unit,24.51,12.73,True,False,,,,,0.52,
andina.prod_043,Néctar de Aguaymanto 300 ml,BEB-AGU-300ml,7750000000434,consu,True,andina.categ_bebidas,uom.product_uom_unit,3.90,1.80,True,False,,,,,0.33,
andina.prod_044,Néctar de Aguaymanto 1 L,BEB-AGU-1L,7750000000441,consu,True,andina.categ_bebidas,uom.product_uom_unit,10.14,4.68,True,False,,,,,0.33,
andina.prod_045,Néctar de Sauco 300 ml,BEB-SAU-300ml,7750000000458,consu,True,andina.categ_bebidas,uom.product_uom_unit,3.90,1.80,True,False,,,,,0.33,
andina.prod_046,Néctar de Sauco 1 L,BEB-SAU-1L,7750000000465,consu,True,andina.categ_bebidas,uom.product_uom_unit,10.14,4.68,True,False,,,,,0.33,
andina.prod_047,Néctar de Camu Camu 300 ml,BEB-CAM-300ml,7750000000472,consu,True,andina.categ_bebidas,uom.product_uom_unit,3.90,1.80,True,False,,,,,0.33,
andina.prod_048,Néctar de Camu Camu 1 L,BEB-CAM-1L,7750000000489,consu,True,andina.categ_bebidas,uom.product_uom_unit,10.14,4.68,True,False,,,,,0.33,
andina.prod_049,Aguaymanto fresco,MP-AGUA,7750000000496,consu,True,andina.categ_mp,uom.product_uom_kgm,,8.50,False,True,andina.prov_001,8.50,5,100,,
andina.prod_050,Sauco fresco,MP-SAUC,7750000000502,consu,True,andina.categ_mp,uom.product_uom_kgm,,9.20,False,True,andina.prov_001,9.20,5,100,,
andina.prod_051,Quinua perlada,MP-QUIN,7750000000519,consu,True,andina.categ_mp,uom.product_uom_kgm,,12.40,False,True,andina.prov_002,12.40,7,200,,
andina.prod_052,Kiwicha en grano,MP-KIWI,7750000000526,consu,True,andina.categ_mp,uom.product_uom_kgm,,11.80,False,True,andina.prov_002,11.80,7,200,,
andina.prod_053,Azúcar rubia,MP-AZÚC,7750000000533,consu,True,andina.categ_mp,uom.product_uom_kgm,,4.20,False,True,andina.prov_003,4.20,3,500,,
andina.prod_054,Miel de abeja,MP-MIEL,7750000000540,consu,True,andina.categ_mp,uom.product_uom_kgm,,22.00,False,True,andina.prov_004,22.00,10,50,,
andina.prod_055,Camote amarillo,MP-CAMO,7750000000557,consu,True,andina.categ_mp,uom.product_uom_kgm,,3.10,False,True,andina.prov_001,3.10,4,300,,
andina.prod_056,Plátano bellaco,MP-PLÁT,7750000000564,consu,True,andina.categ_mp,uom.product_uom_kgm,,2.80,False,True,andina.prov_001,2.80,4,300,,
andina.prod_057,Aceite vegetal de girasol,MP-ACEI,7750000000571,consu,True,andina.categ_mp,uom.product_uom_litre,,9.60,False,True,andina.prov_005,9.60,6,100,,
andina.prod_058,Ácido cítrico alimentario,AD-ÁCID,7750000000588,consu,True,andina.categ_aditivos,uom.product_uom_kgm,,18.50,False,True,andina.prov_005,18.50,4,25,,
andina.prod_059,Pectina cítrica,AD-PECT,7750000000595,consu,True,andina.categ_aditivos,uom.product_uom_kgm,,62.00,False,True,andina.prov_005,62.00,12,10,,
andina.prod_060,Sorbato de potasio,AD-SORB,7750000000601,consu,True,andina.categ_aditivos,uom.product_uom_kgm,,34.00,False,True,andina.prov_005,34.00,12,10,,
andina.prod_061,Sal industrial refinada,AD-SAL,7750000000618,consu,True,andina.categ_aditivos,uom.product_uom_kgm,,1.90,False,True,andina.prov_005,1.90,3,100,,
andina.prod_062,Frasco de vidrio 400 g boca ancha,ENV-FRAS-1000,7750000000625,consu,True,andina.categ_envases,uom.product_uom_unit,,1.35,False,True,andina.prov_006,1.35,8,1000,,
andina.prod_063,Frasco de vidrio 200 g boca ancha,ENV-FRAS-1000,7750000000632,consu,True,andina.categ_envases,uom.product_uom_unit,,0.95,False,True,andina.prov_006,0.95,8,1000,,
andina.prod_064,Frasco de vidrio 1 kg boca ancha,ENV-FRAS-500,7750000000649,consu,True,andina.categ_envases,uom.product_uom_unit,,2.10,False,True,andina.prov_006,2.10,8,500,,
andina.prod_065,Tapa metálica twist-off 63 mm,ENV-TAPA-2000,7750000000656,consu,True,andina.categ_envases,uom.product_uom_unit,,0.28,False,True,andina.prov_007,0.28,6,2000,,
andina.prod_066,Tapa metálica twist-off 82 mm,ENV-TAPA-2000,7750000000663,consu,True,andina.categ_envases,uom.product_uom_unit,,0.36,False,True,andina.prov_007,0.36,6,2000,,
andina.prod_067,Etiqueta autoadhesiva frontal,ENV-ETIQ-5000,7750000000670,consu,True,andina.categ_envases,uom.product_uom_unit,,0.12,False,True,andina.prov_008,0.12,5,5000,,
andina.prod_068,Etiqueta autoadhesiva posterior,ENV-ETIQ-5000,7750000000687,consu,True,andina.categ_envases,uom.product_uom_unit,,0.10,False,True,andina.prov_008,0.10,5,5000,,
andina.prod_069,Caja de cartón corrugado 12 unidades,ENV-CAJA-300,7750000000694,consu,True,andina.categ_envases,uom.product_uom_unit,,1.85,False,True,andina.prov_009,1.85,7,300,,
andina.prod_070,Caja de cartón corrugado 24 unidades,ENV-CAJA-300,7750000000700,consu,True,andina.categ_envases,uom.product_uom_unit,,2.65,False,True,andina.prov_009,2.65,7,300,,
andina.prod_071,Bolsa metalizada 50 g,ENV-BOLS-5000,7750000000717,consu,True,andina.categ_envases,uom.product_uom_unit,,0.22,False,True,andina.prov_010,0.22,9,5000,,
andina.prod_072,Bolsa metalizada 100 g,ENV-BOLS-5000,7750000000724,consu,True,andina.categ_envases,uom.product_uom_unit,,0.29,False,True,andina.prov_010,0.29,9,5000,,
andina.prod_073,Film termoencogible,ENV-FILM-50,7750000000731,consu,True,andina.categ_envases,uom.product_uom_kgm,,14.50,False,True,andina.prov_010,14.50,9,50,,
andina.prod_074,Flete Lima - Arequipa,SRV-FLET,,service,False,andina.categ_serv,uom.product_uom_unit,850.00,620.00,True,True,,,,,,
andina.prod_075,Flete Lima - Trujillo,SRV-FLET,,service,False,andina.categ_serv,uom.product_uom_unit,620.00,450.00,True,True,,,,,,
andina.prod_076,Servicio de maquila de etiquetado,SRV-SERV,,service,False,andina.categ_serv,uom.product_uom_unit,0.35,0.22,False,True,,,,,,
andina.prod_077,Análisis microbiológico de lote,SRV-ANÁL,,service,False,andina.categ_serv,uom.product_uom_unit,180.00,180.00,False,True,,,,,,
andina.prod_078,Asesoría nutricional para cliente,SRV-ASES,,service,False,andina.categ_serv,uom.product_uom_unit,250.00,0.00,True,False,,,,,,
andina.prod_079,Alquiler de góndola en tienda,SRV-ALQU,,service,False,andina.categ_serv,uom.product_uom_unit,1200.00,1200.00,False,True,,,,,,
